countryCode,color1,color2
USA,#212176,#E33144
GER,#D9000D,#F9D90F
GBR,#000165,#D20000
JPN,#DB000D,#FEFEFE
ITA,#DC171D,#088C49
AUS,#00843D,#FFCD00
FRA,#000066,#D1081D
POL,#DC171D,#FEFEFE
CAN,#FF0000,#000000
CHN,#E13A1A,#F1A613
ESP,#D9000C,#FBEA0E
JAM,#007933,#000000
BRA,#179353,#FFF505
UKR,#0074A8,#FCEB0F
NED,#E76600,#002082
ETH,#169254,#DB171D
KEN,#A20818,#034303
BLR,#DC171D,#5AB124
RSA,#003E07,#E3DA0D
BEL,#DC171D,#000000
CZE,#012986,#DB171D
SUI,#DC171D,#FEFEFE
COL,#001D8F,#FCEB0F
FIN,#000664,#FEFEFE
TUR,#DC171D,#FEFEFE
TTO,#DC171D,#000000
IRL,#00723C,#E76600
IND,#E87D23,#179354
SWE,#0B51A1,#FFF902
GRE,#006FA5,#E1EFF5
MEX,#169253,#DB161C
POR,#DB161C,#169253
HUN,#007934,#D80410
CUB,#042B86,#647AB4
ECU,#FBEA0E,#DA181E
UGA,#000000,#DF3619
DEN,#DC171D,#EB7A7E
MAR,#DB161C,#545E3A
NGR,#007934,#AFD3BD
NOR,#DC171D,#9FA7CB
BAH,#008DA8,#FFEE2F
BRN,#DC171D,#FCFCFC
NZL,#000066,#D82230
LTU,#DC171D,#FCEB0F
ANA,#000000,#CCD5CC
BOT,#0074A8,#000000
ERI,#007934,#DB171C
KAZ,#0074A8,#4E927A
ROU,#DC171D,#FCEB0F
GUA,#8ABAD8,#D1E4F0
ISR,#FFFFFE,#4B7FBA
SVK,#DB171D,#FBFBFB
ALG,#179253,#FDFDFD
EST,#000000,#FDFDFD
LAT,#A80000,#E9C0C0
PER,#DB171C,#F1A4A6
QAT,#C00022,#FEFEFE
AUT,#DC171D,#F4B5B7
CRO,#042A86,#B0BBD8
GHA,#179354,#B3CF23
KOR,#FBFBFB,#5C5C5C
SLO,#DB171D,#FBFBFB
UZB,#58B324,#054395
ART,#000000,#CCD5CC
BAR,#000C73,#9B8A35
MDA,#002986,#9FA23B
TPE,#C2DDF1,#5A6497
ARG,#3F9EC7,#AFD7E8
BUL,#DC171D,#FBFBFB
EGY,#000000,#D9191F
GEO,#D80000,#FBFBFB
SRB,#F3F3F3,#001E80
GRN,#D8111F,#179253
IRI,#199255,#D6ECE1
NAM,#179354,#DC1218
PAN,#DC171D,#EB7B7E
PUR,#DD182E,#EC6F7C
VEN,#DC171D,#FDEB0E
BDI,#179253,#F4FDFA
BEN,#179354,#DC171D
CGO,#179253,#FBEA0F
CHI,#DC171D,#EF9395
CIV,#179354,#EB7D21
CRC,#032B86,#BFC7E0
CYP,#FDFDFD,#E3A600
DOM,#DC171D,#F6C3C5
GUY,#179354,#FDEA02
KGZ,#DC171C,#ED8A14
LBR,#DB1A21,#F5BBBD
MGL,#DC171C,#47AECF
TAN,#000000,#179353
TUN,#DC171D,#F0989B
URU,#6B95C5,#FCFDFE
AFG,#000000,#890108
ALB,#DB161C,#000000
ANT,#DB161C,#000000
AZE,#179354,#8A1F47
BIH,#000C72,#F9D90F
BIZ,#0D4B9E,#E20109
BOL,#169253,#D8181E
BUR,#179353,#DC171C
CAY,#000066,#D92432
COM,#F5D612,#042B86
DJI,#5AB124,#5881BA
DMA,#007833,#62A826
GAM,#179354,#D9191F
GEQ,#169253,#DB171D
HKG,#DC171D,#F09A9D
INA,#DC171D,#FDFDFD
IRQ,#000000,#FE0000
IVB,#000066,#D92432
KSA,#004300,#517B51
KUW,#169253,#DB161C
LES,#00209F,#F7F8FC
LUX,#2683BA,#D9191F
MAS,#E76468,#002986
MLI,#179354,#DC171D
MNE,#EFC300,#D4001A
MTN,#005533,#CC2B33
NIG,#179354,#E76600
OMA,#DC171D,#0B9B58
PAK,#00440E,#FBFBFB
PAR,#042A86,#D8181E
PHI,#000066,#FDFDFF
RWA,#2683B9,#FFFF00
SKN,#007933,#DC171C
SRI,#F0901F,#A40000
SSD,#040204,#DC121C
THA,#DA171D,#001D80
TJK,#59B122,#F6B9BF
TUV,#42ADDE,#E53A2D
ZAM,#007833,#6A0B0E
AND,#E50031,#151E8A
ANG,#000000,#DC171C
ARM,#EB7D21,#00258C
ASA,#000066,#FEFEFE
BAN,#007833,#E0172C
BRU,#FBEA0E,#000000
CAF,#93CCAF,#098C49
CAM,#DC171D,#002987
CHA,#012A87,#DC171D
CMR,#179354,#FBEA0F
COK,#000066,#4E4E91
CPV,#000066,#F45A65
ESA,#0B50A0,#9AB6D7
FIJ,#0074A8,#D92432
FSM,#5C86BC,#CCD6EC
GAB,#179354,#AFB134
GBS,#179354,#DB161C
GUI,#179354,#DC171D
GUM,#000066,#880F45
HAI,#DC171D,#012A87
HON,#0B51A1,#9AB7D8
ISL,#002A87,#E0ACB3
ISV,#FBFBFB,#E5D703
JOR,#000000,#DA171D
KIR,#FF0000,#0000F7
KOS,#244AA5,#CDA452
LAO,#DD171C,#012A87
LBA,#239F47,#010001
LBN,#DC161C,#F4B9BB
LCA,#00AAFF,#66AACC
MAD,#179354,#FBFBFB
MAW,#000000,#319400
MDV,#DC161C,#179354
MKD,#DC161C,#F3B112
MLT,#DC171D,#ED878A
MON,#DC171D,#FDFDFD
MOZ,#000000,#F9E910
MRI,#738152,#001D8F
NCA,#0B51A1,#9AB7D8
NEP,#802053,#BD1A3B
NRU,#003399,#FFFF00
PLE,#000000,#DB161C
PLW,#087BA5,#FFEF08
PNG,#000000,#D8181E
SAM,#DC171D,#002B8E
SEN,#179353,#DC171D
SEY,#DC171D,#034403
SGP,#DC171D,#FDFDFD
SLE,#5AB124,#0B51A1
SOL,#179353,#A6B2D4
SOM,#5881BB,#98B1D5
STP,#179354,#FFED0B
SUD,#000000,#D8191F
SWZ,#0047A9,#84A756
SYR,#000000,#AFAFAF
TGA,#DC171D,#EE9295
TKM,#00633A,#7A1B0D
TLS,#DB000D,#000000
TOG,#FFF10A,#088D58
UAE,#000000,#DC171D
VIE,#DC171C,#FBE80F
VIN,#FBEA0F,#179353
YEM,#000000,#AFAFAF
ZIM,#0F8E57,#E81120
